Part #,Digikey #,Note,Qty,Value,Device,Package,Parts,Description
1,,,1,0.01uF,C-USC0603,C0603,C31,"CAPACITOR, American symbol"
2,,,40,0.1uF,C-USC0603,C0603,"C3, C6, C10, C11, C14, C16, C18, C20, C22, C24, C32, C34, C37, C38, C40, C42, C43, C45, C52, C53, C56, C57, C59, C61, C63, C65, C67, C69, C71, C73, C80, C81, C84, C85, C87, C89, C91, C93, C95, C97","CAPACITOR, American symbol"
3,,Ceramic,2,100uF,C-USC1210,C1210,"C25, C27","CAPACITOR, American symbol"
4,,Aluminum,2,100uF,"CPOL-USUD-4X5,8","UD-4X5,8_NICHICON","C35, C36","POLARIZED CAPACITOR, American symbol"
5,,,12,10K,R-US_R0603,R0603,"R7, R8, R9, R16, R33, R34, R35, R36, R49, R50, R51, R52","RESISTOR, American symbol"
6,,,36,10uF,CPOL-US,C0603T,"C7, C8, C9, C12, C13, C15, C17, C19, C21, C23, C33, C39, C41, C44, C50, C51, C54, C55, C58, C60, C62, C64, C66, C68, C70, C72, C78, C79, C82, C83, C86, C88, C90, C92, C94, C96","POLARIZED CAPACITOR, American symbol"
7,,,1,10uF <3Ohm ESR,CPOL-US,C0603T,C29,"POLARIZED CAPACITOR, American symbol"
8,,,1,115k,R-US_R0603,R0603,R17,"RESISTOR, American symbol"
9,,,1,130k,R-US_R0603,R0603,R19,"RESISTOR, American symbol"
10,,,1,1uF Tant,CPOL-US,C0603T,C98,"POLARIZED CAPACITOR, American symbol"
11,,,12,33,R-US_R0603,R0603,"R1, R2, R10, R11, R21, R22, R27, R28, R37, R38, R43, R44","RESISTOR, American symbol"
12,,,12,39pF,C-USC0603,C0603,"C1, C2, C4, C5, C46, C47, C48, C49, C74, C75, C76, C77","CAPACITOR, American symbol"
13,,,5,4.7uF,C-USC0603,C0603,"C26, C28, C30, C99, C100","CAPACITOR, American symbol"
14,,,24,499,R-US_R0603,R0603,"R3, R4, R5, R6, R12, R13, R14, R15, R23, R24, R25, R26, R29, R30, R31, R32, R39, R40, R41, R42, R45, R46, R47, R48","RESISTOR, American symbol"
15,,,1,51k,R-US_R0603,R0603,R18,"RESISTOR, American symbol"
16,,,1,66k,R-US_R0603,R0603,R20,"RESISTOR, American symbol"
17,,,2,AD5754BREZ,AD5754BREZ,SOP65P640X120-25N,"U2, U6","IC, DAC, 16BIT, 100KSPS"
18,,,3,AD7357BRUZ,AD7357BRUZ,SOP65P640X120-16N,"ADC1, ADC2, ADC3","Differential Input, Dual, Simultaneous Sampling, 4.2 MSPS, 14-Bit, SAR ADC"
19,,,3,AD8022ARMZ,AD8022ARMZ,SOP65P490X110-8N,"U1, U8, U9","Dual High Speed,Low Noise Op Amp"
20,,,6,AD8138ARMZ,AD8138ARMZ,SOP65P490X110-8N,"ADCOP1, ADCOP2, ADCOP3, ADCOP4, ADCOP5, ADCOP6",Low Distortion Differential ADC Driver
21,,Hard to find! Sample from Analog Devices?,1,ADP222ACPZ-3325-R7,ADP222ACPZ-3325-R7,QFN50P200X200X60-9N,U$3,
22,,,2,ADR420ARZ,ADR420ARZ,SOIC127P600X175-8N,"U3, U7","Ultraprecision, Low Noise, 2.048 V/2.500 V/ 3.00 V/5.00 V XFET® Voltage References"
23,,,1,KK3V,KK3V,KK-V-3,U$8,Molex KK
24,,,1,LT1175CS8-5PBF,LT1175CS8-5PBF,SOIC127P600X175-8N,U4,500mA Negative Low Dropout Micropower Regulator
25,,,1,LT1763CS8-5PBF,LT1763CS8-5PBF,SOIC127P600X175-8N,U5,"500mA, Low Noise, LDO Micropower Regulators"
26,,,14,LTI-SASF54GT,LTI-SASF54GT,LTI-SASF54GT,"X1, X2, X3, X4, X5, X6, X7, X8, X9, X10, X11, X12, X13, X14",SMA vertical PCB thrue hole jack
27,,,2,LTM8045,LTM8045,BGA-40,"U$1, U$2",
28,,,2,MPZ1608S601A,L-US,C0603,"L1, L2","INDUCTOR, American symbol"
29,,,4,NFM31P,NFM31P,NFM31P,"U$4, U$5, U$6, U$7",
30,,,1,XEM6310,XEM6310,XEM6310,J1,
